ID,Malt,DefaultMalt,PPG,EBC,Weyerman (DE),Castle/Chateau (BE),Muntons (UK),Crisp (UK),Briess (US),Fawcett (UK),Baird (UK),Dingermans (BE),Warminster (UK),Swaen,Simpson (UK)
1,2-Row Pale Ale,188,37,7.5,Pilsn+J3+B2:I66,Pilsen 2RS,Lager,Best Pale,2-Row Pale Ale,Lager,NULL,NULL,NULL,NULL,Best Pale
2,Abbey,162,36,40,NULL,Abbey,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,Acidulated Malt,161,27,5,Acidulated Malt,Acid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,Amber,75,35,45,NULL,NULL,Amber,Amber,NULL,Amber,NULL,NULL,Amber,NULL,NULL
5,Black,79,33,1400,NULL,NULL,Black,Black,NULL,Black,NULL,NULL,Black,NULL,NULL
6,Black Patent,79,32,1300,NULL,NULL,Black,Black,NULL,Black,NULL,NULL,NULL,NULL,NULL
7,Bohemian Pilsner,271,37,4,Bohemian Pilsner,Pilsen 2RS,Larger,Lager,Pilsner,Lager,NULL,Pilsen,NULL,NULL,Finest Lager
8,Brown,76,33,175,NULL,NULL,NULL,Brown,NULL,Brown,NULL,NULL,Brown,NULL,NULL
9,CaraAmber,180,36,60,CaraAmber,Cara Arome*,NULL,NULL,Victory,NULL,NULL,NULL,NULL,NULL,NULL
10,CaraAroma,179,36,350,CaraAroma,Cara Café*,Dark Crystal,NULL,Crystal 120,Dark Crystal II,Dark Crystal,Special B,NULL,NULL,Double Roast Crystal
11,CaraBelge,178,33,30,CaraBelge,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,CaraBohemian,177,33,170,CaraBohemian,NULL,NULL,NULL,Crystal 80,Dark Crystal,Crystal,NULL,Crystal 200,NULL,NULL
13,Carafa Special Type 1,176,32,800,Carafa Special Type 1,Chocolat,NULL,NULL,NULL,Pale Chocolate,NULL,NULL,NULL,NULL,NULL
14,Carafa Special Type 2,175,32,1100,Carafa Special Type 2,Black,Chocolate,Chocolate,NULL,Chocolate,NULL,NULL,NULL,NULL,NULL
15,Carafa Special Type 3,174,32,1300,Carafa Special Type 3,Black,Black,Black,Black Patent,Black,NULL,NULL,NULL,NULL,NULL
16,CaraFoam,0,NULL,NULL,NULL,NULL,NULL,CaraPils,NULL,NULL,NULL,NULL,NULL,NULL,NULL
